model-1578457092,1578457117.158,0.75,0.1739,0.63,0.2282
model-1578457092,1578457117.249,0.64,0.2021,0.69,0.2081
model-1578457092,1578457117.342,0.71,0.1754,0.65,0.2113
model-1578457092,1578457117.433,0.66,0.2192,0.61,0.2135
model-1578457092,1578457117.525,0.63,0.2084,0.6,0.215
model-1578457092,1578457117.616,0.61,0.221,0.63,0.2084
model-1578457092,1578457117.722,0.65,0.2243,0.7,0.2047
model-1578457092,1578457117.813,0.63,0.2112,0.72,0.2033
model-1578457092,1578457117.91,0.82,0.1651,0.67,0.2079
model-1578457092,1578457118.002,0.76,0.1744,0.67,0.2111
model-1578457092,1578457118.093,0.69,0.1931,0.68,0.2133
model-1578457092,1578457118.185,0.68,0.1927,0.68,0.2085
model-1578457092,1578457118.278,0.63,0.2249,0.68,0.2016
model-1578457092,1578457118.372,0.7,0.1877,0.69,0.2038
model-1578457092,1578457118.465,0.67,0.2053,0.62,0.2102
model-1578457092,1578457118.555,0.67,0.2153,0.64,0.2114
model-1578457092,1578457118.654,0.66,0.2135,0.6,0.211
model-1578457092,1578457118.748,0.64,0.2142,0.7,0.2119
model-1578457092,1578457118.84,0.66,0.235,0.67,0.227
model-1578457092,1578457118.94,0.65,0.2157,0.66,0.2281
model-1578457092,1578457119.036,0.63,0.2149,0.69,0.2132
model-1578457092,1578457119.127,0.68,0.1944,0.69,0.2026
model-1578457092,1578457119.22,0.66,0.2071,0.64,0.2147
model-1578457092,1578457119.313,0.68,0.209,0.65,0.2156
model-1578457092,1578457119.412,0.7,0.1883,0.68,0.2086
model-1578457092,1578457119.503,0.63,0.2311,0.67,0.2007
model-1578457092,1578457119.594,0.73,0.1883,0.68,0.2035
model-1578457092,1578457119.686,0.68,0.1961,0.68,0.2131
model-1578457092,1578457119.778,0.83,0.1541,0.69,0.2166
model-1578457092,1578457119.87,0.7,0.1955,0.67,0.2107
model-1578457092,1578457119.962,0.76,0.1815,0.65,0.2056
model-1578457092,1578457120.052,0.69,0.1915,0.66,0.2029
model-1578457092,1578457120.152,0.66,0.2138,0.67,0.202
model-1578457092,1578457120.244,0.74,0.1706,0.67,0.2013
model-1578457092,1578457120.343,0.67,0.206,0.68,0.2013
model-1578457092,1578457120.433,0.69,0.2009,0.66,0.202
model-1578457092,1578457120.525,0.7,0.195,0.7,0.202
model-1578457092,1578457120.615,0.72,0.1819,0.7,0.2036
model-1578457092,1578457120.71,0.68,0.2103,0.68,0.2095
model-1578457092,1578457120.801,0.63,0.2167,0.69,0.2066
model-1578457092,1578457120.892,0.72,0.1935,0.67,0.2067
model-1578457092,1578457120.983,0.66,0.1973,0.65,0.2095
model-1578457092,1578457121.084,0.65,0.1988,0.66,0.2088
model-1578457092,1578457121.176,0.61,0.2234,0.66,0.2073
model-1578457092,1578457121.273,0.68,0.1885,0.67,0.2053
model-1578457092,1578457121.366,0.64,0.2154,0.66,0.2063
model-1578457092,1578457121.46,0.71,0.2066,0.69,0.2042
model-1578457092,1578457121.552,0.67,0.1966,0.7,0.2046
model-1578457092,1578457121.645,0.7,0.1845,0.68,0.2028
model-1578457092,1578457121.736,0.68,0.2053,0.69,0.2001
model-1578457092,1578457121.828,0.73,0.1691,0.69,0.1989
model-1578457092,1578457121.922,0.75,0.1768,0.69,0.197
model-1578457092,1578457122.014,0.67,0.205,0.7,0.195
model-1578457092,1578457122.105,0.68,0.189,0.68,0.1957
model-1578457092,1578457122.199,0.73,0.1945,0.68,0.1988
model-1578457092,1578457122.291,0.65,0.1975,0.67,0.2059
model-1578457092,1578457122.386,0.66,0.2216,0.66,0.1988
model-1578457092,1578457122.476,0.74,0.1866,0.67,0.1995
model-1578457092,1578457122.569,0.81,0.1588,0.68,0.21
model-1578457092,1578457122.66,0.67,0.1929,0.63,0.2219
model-1578457092,1578457122.764,0.76,0.1577,0.65,0.2204
model-1578457092,1578457122.856,0.72,0.1815,0.61,0.2279
model-1578457092,1578457122.952,0.69,0.2188,0.67,0.2164
model-1578457092,1578457123.048,0.73,0.1744,0.67,0.2056
model-1578457092,1578457123.14,0.71,0.179,0.67,0.2006
model-1578457092,1578457123.234,0.7,0.1877,0.67,0.1975
model-1578457092,1578457123.333,0.79,0.146,0.7,0.1941
model-1578457092,1578457123.428,0.73,0.2007,0.72,0.1946
model-1578457092,1578457123.531,0.64,0.2154,0.71,0.1938
model-1578457092,1578457123.622,0.68,0.2003,0.71,0.197
model-1578457092,1578457123.714,0.7,0.1902,0.7,0.2007
model-1578457092,1578457123.809,0.67,0.2057,0.67,0.2091
model-1578457092,1578457123.902,0.73,0.1754,0.64,0.2188
model-1578457092,1578457123.996,0.72,0.1904,0.67,0.2087
model-1578457092,1578457124.088,0.69,0.1957,0.71,0.2111
model-1578457092,1578457124.184,0.68,0.1994,0.7,0.2055
model-1578457092,1578457124.278,0.75,0.1755,0.7,0.2047
model-1578457092,1578457124.371,0.73,0.1743,0.69,0.2039
model-1578457092,1578457124.463,0.63,0.2298,0.7,0.2002
model-1578457092,1578457124.554,0.7,0.1972,0.72,0.1975
model-1578457092,1578457124.645,0.73,0.1812,0.72,0.1952
model-1578457092,1578457124.736,0.71,0.1854,0.72,0.1966
model-1578457092,1578457124.827,0.74,0.1784,0.7,0.1935
model-1578457092,1578457124.92,0.68,0.2065,0.74,0.1936
model-1578457092,1578457125.012,0.73,0.1909,0.63,0.2127
model-1578457092,1578457125.103,0.68,0.201,0.63,0.2276
model-1578457092,1578457125.195,0.69,0.2121,0.61,0.2318
model-1578457092,1578457125.292,0.71,0.2003,0.65,0.2198
model-1578457092,1578457125.386,0.74,0.1774,0.61,0.2173
model-1578457092,1578457125.477,0.63,0.2263,0.63,0.2183
model-1578457092,1578457125.57,0.77,0.172,0.63,0.2229
model-1578457092,1578457125.671,0.64,0.2067,0.64,0.2136
model-1578457092,1578457125.764,0.77,0.1891,0.64,0.2072
model-1578457092,1578457125.869,0.63,0.2038,0.65,0.2037
model-1578457092,1578457125.961,0.74,0.1954,0.68,0.199
model-1578457092,1578457126.053,0.74,0.1841,0.68,0.1952
model-1578457092,1578457126.145,0.77,0.1642,0.69,0.1928
model-1578457092,1578457126.237,0.77,0.1811,0.69,0.1919
model-1578457092,1578457126.343,0.71,0.1784,0.66,0.1942
model-1578457092,1578457126.433,0.68,0.1871,0.66,0.1987
model-1578457092,1578457126.526,0.66,0.2072,0.66,0.1913
model-1578457092,1578457126.617,0.75,0.1604,0.74,0.1896
model-1578457092,1578457126.709,0.72,0.1758,0.69,0.1933
model-1578457092,1578457126.8,0.81,0.1467,0.68,0.1945
model-1578457092,1578457126.893,0.74,0.1634,0.69,0.1899
model-1578457092,1578457126.983,0.79,0.1623,0.68,0.1967
model-1578457092,1578457127.075,0.72,0.1787,0.7,0.1934
model-1578457092,1578457127.166,0.66,0.2007,0.73,0.1914
model-1578457092,1578457127.269,0.67,0.198,0.65,0.2052
model-1578457092,1578457127.363,0.77,0.1771,0.65,0.2177
model-1578457092,1578457127.454,0.64,0.2214,0.66,0.2002
model-1578457092,1578457127.546,0.69,0.1857,0.68,0.1949
model-1578457092,1578457127.638,0.8,0.1475,0.69,0.1975
model-1578457092,1578457127.747,0.7,0.183,0.67,0.2015
model-1578457092,1578457127.846,0.76,0.1521,0.63,0.2046
model-1578457092,1578457127.939,0.72,0.1819,0.65,0.2065
model-1578457092,1578457128.039,0.65,0.1946,0.65,0.2146
model-1578457092,1578457128.139,0.7,0.1927,0.68,0.2077
model-1578457092,1578457128.239,0.72,0.1746,0.65,0.1961
model-1578457092,1578457128.335,0.76,0.1781,0.71,0.1898
model-1578457092,1578457128.434,0.71,0.1953,0.71,0.1883
model-1578457092,1578457128.535,0.75,0.155,0.73,0.187
model-1578457092,1578457128.628,0.72,0.2022,0.68,0.1955
model-1578457092,1578457128.721,0.75,0.1784,0.62,0.2364
model-1578457092,1578457128.813,0.6,0.2569,0.7,0.1917
model-1578457092,1578457128.911,0.68,0.2008,0.73,0.1964
model-1578457092,1578457129.012,0.72,0.1723,0.73,0.2001
model-1578457092,1578457129.113,0.79,0.1559,0.74,0.1983
model-1578457092,1578457129.222,0.69,0.1788,0.66,0.1898
model-1578457092,1578457129.331,0.77,0.1772,0.67,0.1986
model-1578457092,1578457129.451,0.73,0.1754,0.66,0.2118
model-1578457092,1578457129.547,0.74,0.1758,0.67,0.2197
model-1578457092,1578457129.638,0.69,0.2071,0.66,0.2109
model-1578457092,1578457129.738,0.68,0.1872,0.69,0.2041
model-1578457092,1578457129.833,0.7,0.2108,0.68,0.2012
model-1578457092,1578457129.926,0.75,0.1707,0.68,0.2137
model-1578457092,1578457130.018,0.68,0.2132,0.64,0.2284
model-1578457092,1578457130.109,0.69,0.2107,0.65,0.2194
model-1578457092,1578457130.201,0.64,0.1967,0.68,0.1993
model-1578457092,1578457130.293,0.74,0.1855,0.69,0.1954
model-1578457092,1578457130.399,0.81,0.1598,0.67,0.2029
model-1578457092,1578457130.494,0.76,0.1752,0.66,0.2071
model-1578457092,1578457130.586,0.75,0.1714,0.71,0.1975
model-1578457092,1578457130.677,0.74,0.1829,0.69,0.1942
model-1578457092,1578457130.768,0.75,0.1597,0.65,0.2076
model-1578457092,1578457130.866,0.75,0.1645,0.63,0.2149
model-1578457092,1578457130.958,0.69,0.1994,0.63,0.2106
model-1578457092,1578457131.05,0.78,0.1498,0.67,0.2054
model-1578457092,1578457131.142,0.79,0.1707,0.68,0.2054
model-1578457092,1578457131.235,0.77,0.1675,0.64,0.2101
model-1578457092,1578457131.331,0.72,0.1956,0.65,0.2117
model-1578457092,1578457131.428,0.62,0.2303,0.64,0.212
model-1578457092,1578457131.53,0.76,0.1877,0.62,0.213
model-1578457092,1578457131.622,0.65,0.2313,0.66,0.224
model-1578457092,1578457131.722,0.76,0.1692,0.65,0.2316
model-1578457092,1578457131.812,0.73,0.2008,0.66,0.224
model-1578457092,1578457131.906,0.74,0.1759,0.64,0.2052
model-1578457092,1578457131.997,0.8,0.1542,0.66,0.2029
model-1578457092,1578457132.092,0.78,0.1658,0.64,0.2043
model-1578457092,1578457132.182,0.7,0.1926,0.67,0.1971
model-1578457092,1578457132.276,0.78,0.1657,0.68,0.198
model-1578457092,1578457132.369,0.73,0.174,0.69,0.2122
model-1578457092,1578457132.468,0.79,0.1546,0.61,0.2278
model-1578457092,1578457132.559,0.74,0.177,0.62,0.2283
model-1578457092,1578457132.651,0.75,0.1964,0.67,0.2043
model-1578457092,1578457132.741,0.78,0.1507,0.69,0.1944
model-1578457092,1578457132.833,0.77,0.1549,0.68,0.2136
model-1578457092,1578457132.926,0.67,0.2221,0.71,0.2115
model-1578457092,1578457133.018,0.72,0.1835,0.71,0.1983
model-1578457092,1578457133.109,0.72,0.191,0.67,0.193
model-1578457092,1578457133.201,0.74,0.1817,0.67,0.1995
model-1578457092,1578457133.292,0.76,0.1875,0.69,0.2005
model-1578457092,1578457133.4,0.78,0.152,0.71,0.197
model-1578457092,1578457133.49,0.71,0.2005,0.65,0.1954
model-1578457092,1578457133.583,0.74,0.1657,0.68,0.1962
model-1578457092,1578457133.673,0.69,0.1886,0.71,0.1976
model-1578457092,1578457133.765,0.81,0.1467,0.71,0.1988
